iter	MultiClass
0	1.086168057
1	1.065289236
2	1.049258642
3	1.022314538
4	1.005236587
5	0.9936367079
6	0.9778979458
7	0.9670422959
8	0.9552632265
9	0.9433705761
10	0.9299636121
11	0.9208475927
12	0.910276402
13	0.8993226651
14	0.8868175981
15	0.8726738528
16	0.8623742222
17	0.8469901473
18	0.8399072801
19	0.8272108985
20	0.8145840677
21	0.8094716364
22	0.8012232456
23	0.7919227765
24	0.7833598469
25	0.7717984572
26	0.7667897179
27	0.7542301596
28	0.7487417391
29	0.7356696903
30	0.7258200605
31	0.7166945881
32	0.7075239668
33	0.7004759638
34	0.691456273
35	0.6828323097
36	0.6727600911
37	0.6648745757
38	0.6588071469
39	0.6528436752
40	0.6464147402
41	0.6354075291
42	0.6271159566
43	0.6202165439
44	0.6119254625
45	0.6043559337
46	0.6013528767
47	0.5967015575
48	0.5915936313
49	0.5855649704
50	0.5760931365
51	0.5683441823
52	0.5614209715
53	0.5565256852
54	0.5496284242
55	0.5458963651
56	0.538854053
57	0.5318979522
58	0.5249943783
59	0.5182320454
60	0.5128668795
61	0.5070121679
62	0.5008029559
63	0.492821395
64	0.4882019402
65	0.4836283846
66	0.4775573066
67	0.4707874955
68	0.4657881327
69	0.4623960939
70	0.4584523723
71	0.4555346608
72	0.4490829487
73	0.4438888166
74	0.4392187714
75	0.434010781
76	0.4291034519
77	0.426118865
78	0.4227560441
79	0.4171236106
80	0.4132503291
81	0.4076756716
82	0.4053148897
83	0.4007335098
84	0.3967030122
85	0.3937879242
86	0.3888942355
87	0.3845423241
88	0.3796708162
89	0.3740002423
90	0.3697681671
91	0.365319086
92	0.3624699034
93	0.3595991016
94	0.3555010233
95	0.3511739936
96	0.345799915
97	0.3422590333
98	0.3381132004
99	0.3345242052
