iter	Passed	Remaining
0	18	1860
1	30	1494
2	42	1360
3	53	1281
4	64	1230
5	76	1191
6	87	1164
7	99	1139
8	110	1116
9	121	1097
10	133	1080
11	144	1063
12	156	1046
13	167	1031
14	179	1015
15	190	1002
16	202	990
17	214	977
18	226	964
19	237	951
20	249	937
21	260	923
22	272	911
23	283	897
24	295	886
25	307	874
26	318	862
27	330	850
28	342	837
29	353	824
30	364	812
31	376	799
32	388	787
33	399	775
34	411	764
35	423	752
36	434	740
37	446	727
38	457	715
39	469	703
40	480	691
41	492	680
42	503	668
43	515	656
44	527	644
45	539	633
46	550	620
47	562	608
48	573	597
49	585	585
50	597	573
51	608	562
52	620	550
53	632	538
54	643	526
55	655	514
56	666	502
57	678	490
58	689	479
59	701	467
60	713	456
61	724	444
62	736	432
63	747	420
64	759	408
65	770	397
66	782	385
67	793	373
68	805	361
69	817	350
70	828	338
71	840	326
72	851	315
73	863	303
74	874	291
75	885	279
76	897	268
77	909	256
78	920	244
79	932	233
80	944	221
81	955	209
82	966	197
83	978	186
84	989	174
85	1002	163
86	1013	151
87	1025	139
88	1037	128
89	1049	116
90	1060	104
91	1072	93
92	1083	81
93	1095	69
94	1106	58
95	1118	46
96	1129	34
97	1141	23
98	1152	11
99	1163	0
